Course Name,Course Description,Credits
ACTG 211, Intro Accounting I,4.00
 ,10396,10,10,tba,tba,tba,STAFF,!
ARH 404, Internship,1.00-5.00
 ,10397,10,10,tba,tba,tba,STAFF,
ARH 405, Reading,1.00-5.00
 ,10398,10,10,tba,tba,tba,STAFF,
ARH 406, Practicum,1.00-12.00
 ,10399,10,10,tba,tba,tba,STAFF,
ARH 407, Sem Methods,4.00
 ,16089,3,20,1400-1650,w,241 LA,Ehrlich V, 
ARH 410, Art Madness,4.00
 ,16637,9,25,1000-1120,mw,241 LA,Cheng J,
ARH 440, Museology,4.00
 ,15650,2,20,1600-1850,m,241 LA,Ciglia S,!8
ARH 456, World Arch Since 1960,4.00
 ,15651,2,20,1400-1520,tr,241 LA,Eggener K,!
ARH 457, Top Postmodern & Art,4.00
 ,16260,1,20,1000-1120,tr,241 LA,Ciglia S, 
ART 101, Understand Contemp Art >1,4.00
 ,10426,1,216,1200-1350,mw,177 LA,Cebere A,$8A
ART 115," Surface, Space, & Time",4.00
Lecture,10427,2,119,1200-1350,t,115 LA,Morgan D,!$U8A
+ Lab,10428,0,20,0800-0950,mw,261 LA,Friedman E,8A
+ Lab,10429,0,20,1000-1150,mw,261 LA,Friedman E,!U8A
+ Lab,10430,0,20,1600-1750,mw,261 LA,Garazhian P,8A
+ Lab,10431,1,20,1400-1550,mw,261 LA,Garazhian P,8A
+ Lab,16586,1,20,1400-1550,tr,261 LA,Javadpour A,8A
+ Lab,16587,0,19,1600-1750,tr,261 LA,Javadpour A,8A
Lecture,10432,4,80,1000-1150,t,101 LIB,Morgan D,$8A
+ Lab,10433,3,20,0800-0950,tr,261 LA,Eskandari Y,8A
+ Lab,10434,0,20,1200-1350,tr,261 LA,Eskandari Y,8A
+ Lab,10435,0,20,1000-1150,mw,101 HAM,Montgomery K,!U8A
+ Lab,10436,1,20,0800-0950,mw,101 HAM,Montgomery K,!U8A
ART 116, Core Interdis Lab,4.00
 ,10438,0,18,0900-1150,tr,274 LA,Bray M,!$8A
 ,10439,0,18,0900-1150,mw,274 LA,Ryan J,!$8A
 ,10440,0,18,1200-1450,mw,274 LA,Ryan J,!$8A
 ,10441,1,18,1200-1450,tr,274 LA,Strong G,!$8A
 ,16294,0,18,1500-1750,mw,274 LA,Taylor N,!$8A
ART 233, Drawing I,4.00
 ,10442,0,18,0900-1150,mw,141 LA,Rey M,!$A
 ,10443,3,18,1200-1450,mw,141 LA,Langley E,!$A
 ,10444,2,18,0800-1050,tr,141 LA,Strong G,!$A
 ,10445,0,18,1500-1750,tr,141 LA,Schauer J,!$A
 ,10446,0,18,1200-1450,tr,141 LA,Schauer J,!$A
 ,16306,0,18,1500-1750,mw,141 LA,Morgan D,$A
ART 333, Drawing II,4.00
 ,10447,0,18,0800-1050,tr,290 LA,Seloover R,!$8A
 ,10448,0,18,1200-1450,mw,290 LA,Swanson J,!$8A
 ,15659,1,19,0800-1050,mw,290 LA,Swanson J,!$8A
ART 381, Letterpress,4.00
 ,10449,0,16,1200-1450,mw,190 LA,Childers R,!$8A
ART 401, Research,1.00-12.00
 ,10450,10,10,tba,tba,tba,STAFF,$
ART 404, Internship,1.00-12.00
 ,10451,8,10,tba,tba,tba,STAFF,
ART 405, Special Problems,1.00-12.00
 ,10452,16,20,tba,tba,tba,STAFF,
 ,16728,19,20,tba,tba,tba,STAFF,$
ART 407, Sem Vis Artist Lecture,1.00
 ,10454,106,115,1600-1750,r,115 LA,Alvarado C,$
ART 409, Term Creative Proj BFA,1.00-12.00
 ,10455,2,10,tba,tba,tba,STAFF,$
 ,16489,7,10,tba,tba,tba,STAFF,$
ARTC 199, Sp St Wheel Throwing,4.00
 ,15660,3,16,1200-1450,mw,105B ART,Howell L,$8A
ARTC 255, Intro to Ceramics,4.00
 ,10465,0,16,1200-1450,tr,105B ART,Campbell A,!$A
ARTC 354, Industrial Ceramics,4.00
 ,10466,1,16,0900-1150,mw,105B ART,Howell L,!$8A
ARTC 355, Top Intermed Ceramics,4.00
 ,10467,3,16,0900-1150,tr,105B ART,Howell L,!$8A
ARTC 355, Top Intermed/Advanced,4.00
 ,10468,2,16,1500-1750,mw,105B ART,Scott S,!$8A
ARTC 405, Sp Pr Shop Core,1.00
 ,15661,19,20,-, , ,Scott S,$
ARTC 455, Advanced Ceramics,4.00
 ,10469,2,16,1500-1750,mw,105B ART,Scott S,!$8A
ARTD 199, Sp St Creative Coding,4.00
 ,10471,1,18,1200-1450,tr,113 MR1,Park J,$8A
ARTD 250, Print Media Digit Arts,4.00
Lecture,10472,0,119,1200-1350,m,115 LA,Warren T,$8A
+ Lab,10473,0,20,0800-0950,mw,283M LA,Rothering G,8A
+ Lab,10474,0,20,1000-1150,mw,283M LA,Rothering G,!U8A
+ Lab,10475,0,20,1400-1550,mw,283M LA,DeSorbo A,8A
+ Lab,10476,0,20,1600-1750,mw,283M LA,DeSorbo A,8A
+ Lab,10477,0,15,1600-1750,tr,283M LA,Franco E,8A
