Course Name,Course Description,Credits,Section Type,CRN,Available Seats,Total Seats,Days,Time,Location,Instructor,Requirements
ANTH 403,Thesis,1.00-12.00,Lecture,10187,9,10,tba,tba,tba,STAFF,N/A
ANTH 405,Special Problems,1.00-12.00,Lecture,10188,9,10,tba,tba,tba,STAFF,N/A
ANTH 408,Wrk Field Anthropology,1.00-21.00,Lecture,10190,10,10,tba,tba,tba,STAFF,N/A
ANTH 410,Healthy Aging,4.00,Lecture,10191,0,30,1000-1150,mw,189 PLC,Snodgrass J,N/A
ANTH 410,Climate Change & Soc,4.00,Lecture,16487,6,30,1600-1750,mw,360 CON,Herrera T,N/A
ANTH 441,Recent Cultural Theory,4.00,Lecture,15554,2,30,1200-1350,tr,101 PETR,Bornstein E,!9
ANTH 453,African Archaeology,4.00,Lecture,10193,1,30,1400-1550,tr,201 CON,Dueppen S,8
ANTH 467,Paleoecol Human Evol,4.00,Lecture,15555,1,18,1400-1550,mw,368 CON,Blumenthal S,!
ANTH 471,Top Zooarchaeology,4.00,Lecture,15557,1,13,1400-1550,tr,264 CON,Sanchez G,!
ANTM 401,Research,1.00-21.00,Lecture,10210,2,5,tba,tba,tba,STAFF,N/A
ANTM 403,Thesis,1.00-12.00,Lecture,10212,5,5,tba,tba,tba,STAFF,N/A
ANTM 405,Special Problems,1.00-12.00,Lecture,10213,5,5,tba,tba,tba,STAFF,N/A
ANTM 405,Special Problems,1.00-12.00,Lecture,10214,10,10,tba,tba,tba,STAFF,N/A
ANTM 408,Wrk Field Museum ANTM,1.00-21.00,Lecture,10215,10,10,tba,tba,tba,STAFF,N/A
ARB 101,1st Year Arabic,5.00,Lecture,10220,12,20,1000-1050,mtwrf,157 MCK,Elsherif H,N/A
ARB 101,1st Year Arabic,5.00,Lecture,10221,15,20,1100-1150,mtwrf,157 MCK,Elsherif H,N/A
ARB 101,1st Year Arabic,5.00,Lecture,10222,4,20,1200-1250,mtwrf,193 ESL,Hollenberg D,N/A
ARB 301,Language & Culture I >1 >GP >IC,4.00,Lecture,10223,8,24,1300-1350,mtwr,157 MCK,Elsherif H,!
ARB 405,Reading,1.00-5.00,Lecture,10224,9,10,tba,tba,tba,STAFF,N/A
ARB 406,Practicum,1.00-12.00,Lecture,10225,2,5,tba,tba,tba,STAFF,N/A
ARB 410,Adv Arabic I,4.00,Lecture,10227,7,15,1200-1350,tr,206 FR,Eissa A,N/A
ARCH 201,Intro to Architecture,4.00,Lecture,10228,12,216,0900-0950,mwf,177 LA,Givens J,!U
ARCH 383,PHANTOM ARCH Degn III,6.00,Lecture,10229,0,0,1300-1650,mwf,TBA TBA,tba,!$
ARCH 383,Architectural Des III,6.00,Lecture,10230,2,18,1300-1650,mw,375 LA,Kelso A,!$
ARCH 383,Architectural Des III,6.00,Lecture,10230,2,18,1300-1550,f,115 LA,N/A,N/A
ARCH 383,Architectural Des III,6.00,Lecture,10231,2,18,1300-1650,mw,374 LA,Givens J,!$
ARCH 383,Architectural Des III,6.00,Lecture,10231,2,18,1300-1550,f,115 LA,N/A,N/A
ARCH 383,Architectural Des III,6.00,Lecture,10232,2,18,1300-1650,mw,376 LA,Minder H,!$
ARCH 383,Architectural Des III,6.00,Lecture,10232,2,18,1300-1550,f,115 LA,N/A,N/A
ARCH 383,Architectural Des III,6.00,Lecture,10233,1,17,1300-1650,mw,377 LA,Williams D,!$
ARCH 383,Architectural Des III,6.00,Lecture,10233,1,17,1300-1550,f,115 LA,N/A,N/A
ARCH 383,Architectural Des III,6.00,Lecture,10234,1,18,1300-1650,mw,378 LA,Satumane A,!$
ARCH 383,Architectural Des III,6.00,Lecture,10234,1,18,1300-1550,f,115 LA,N/A,N/A
ARCH 383,Architectural Des III,6.00,Lecture,10235,1,17,1300-1650,mw,379 LA,Chohan S,!$
ARCH 383,Architectural Des III,6.00,Lecture,10235,1,17,1300-1550,f,115 LA,N/A,N/A
ARCH 383,Architectural Des III,6.00,Lecture,16157,0,16,1300-1650,mw,380 LA,Mhuireach G,!$
ARCH 383,Architectural Des III,6.00,Lecture,16157,0,16,1300-1550,f,115 LA,N/A,N/A
ARCH 401,Research,1.00-6.00,Lecture,10236,9,10,tba,tba,tba,STAFF,N/A
ARCH 401,Res Reading,1.00-6.00,Lecture,10238,5,5,tba,tba,tba,STAFF,N/A
ARCH 403,Thesis,1.00-9.00,Lecture,10240,5,5,tba,tba,tba,STAFF,N/A
ARCH 405,Sp Pr Building Ecology,1.00,Lecture,16167,5,10,-,N/A,N/A,Donofrio M,a
ARCH 405,Special Problems,1.00-12.00,Lecture,10241,10,12,tba,tba,tba,STAFF,N/A
ARCH 405,Sp Pr Electric Light,1.00-12.00,Lecture,10243,12,20,-,N/A,N/A,Rockcastle S,a
ARCH 406,Prac Off Campus Exper,1.00-12.00,Lecture,10244,16,16,-,N/A,N/A,Williams K,N/A
ARCH 406,Practicum,1.00-12.00,Lecture,16649,16,16,tba,tba,tba,STAFF,N/A
ARCH 407,Sem Make Our Future,1.00,Lecture,16624,4,16,0830-0950,w 9/26-9/29,405A LA,Cheng N,N/A
ARCH 407,Sem Make Our Future,1.00,Lecture,16624,4,16,0830-0950,w 10/09-10/15,405A LA,N/A,N/A
ARCH 407,Sem Make Our Future,1.00,Lecture,16624,4,16,0830-0950,w 10/23-10/29,405A LA,N/A,N/A
ARCH 407,Sem Make Our Future,1.00,Lecture,16624,4,16,0830-0950,w 11/06-11/12,405A LA,N/A,N/A
ARCH 407,Sem Make Our Future,1.00,Lecture,16624,4,16,0830-0950,w 11/20-11/22,405A LA,N/A,N/A
ARCH 407,Sem Bldg Sys Bldg Ecol,3.00,Lecture,16575,11,24,1600-1720,tr,278 LA,Donofrio M,a
ARCH 410,Bldg Info Model Revit,2.00,Lecture,16173,3,16,0900-1150,f,383 LA,Kelso A,N/A
ARCH 410,Housing Design,3.00,Lecture,16169,0,16,0830-0950,tr,206 LA,Bollo C,N/A
ARCH 410,High Performance Bldgs,4.00,Lecture,10250,11,20,1200-1350,t,278 LA,Elzeyadi I,$a
ARCH 410,High Performance Bldgs,4.00,Lecture,10250,11,20,1200-1350,r,383 LA,N/A,N/A
ARCH 423,Top Media Design Devel,3.00,Lecture,10252,6,16,1000-1150,tr,383 LA,Cheng N,!
ARCH 423,Top Media Design Devel,3.00,Lecture,10253,8,16,0800-0950,tr,100 LA,Williams D,!
ARCH 435,Princ Urban Design,4.00,Lecture,10255,2,22,0900-1150,w,279 LA,Gast G,8
ARCH 435,Princ Urban Design,4.00,Lecture,10255,2,22,0900-1600,s 10/07,166 LA,N/A,N/A
ARCH 450,Spatial Composition,4.00,Lecture,10257,4,123,1400-1520,tr,177 LA,Tice J,!8
ARCH 450,Spatial Composition,4.00,+ Dis,10258,0,15,1600-1650,r,286 LA,Huang A,N/A
ARCH 450,Spatial Composition,4.00,+ Dis,10259,0,15,1700-1750,t,405A LA,Brady B,N/A
ARCH 450,Spatial Composition,4.00,+ Dis,10260,0,15,1300-1350,r,405A LA,Brady B,N/A
ARCH 450,Spatial Composition,4.00,+ Dis,10261,0,15,1600-1650,t,279 LA,Garhofer J,N/A
ARCH 450,Spatial Composition,4.00,+ Dis,10262,3,15,1800-1850,t,286 LA,Brady B,N/A
ARCH 450,Spatial Composition,4.00,+ Dis,10263,0,16,1600-1650,t,405A LA,Huang A,N/A
ARCH 450,Spatial Composition,4.00,+ Dis,16190,1,16,1800-1850,t,278 LA,Garhofer J,!
ARCH 450,Spatial Composition,4.00,+ Dis,16191,0,16,1000-1150,r,286 LA,Huang A,!
ARCH 461,Structural Behavior,6.00,Lecture,10264,5,72,1000-1150,mtwrf 9/18-9/22,177 LA,Duff S,!
ARCH 461,Structural Behavior,6.00,Lecture,10264,5,72,1600-1750,mtwrf 9/18-9/22,177 LA,N/A,N/A
ARCH 461,Structural Behavior,6.00,Lecture,10264,5,72,1000-1150,mwf,177 LA,N/A,N/A
ARCH 461,Structural Behavior,6.00,+ Lab,10266,2,16,1800-1950,t,100 LA,Sears E,N/A
ARCH 461,Structural Behavior,6.00,+ Lab,10267,0,16,0800-0950,r,383 LA,Sears E,N/A
ARCH 461,Structural Behavior,6.00,+ Lab,10268,2,18,1400-1550,r,383 LA,Wylie S,N/A
ARCH 461,Structural Behavior,6.00,+ Lab,16596,0,16,1600-1750,r,383 LA,Alampi E,!
ARCH 461,Structural Behavior,6.00,+ Lab,16686,1,16,0800-0950,t,383 LA,Sears E,!
ARCH 470,Building Construction,4.00,Lecture,10271,7,123,0830-0950,tr,177 LA,Hahn T,!
ARCH 470,Building Construction,4.00,+ Lab,10272,0,15,1600-1750,t,104 PAC,Benjamin W,N/A
ARCH 470,Building Construction,4.00,+ Lab,10273,2,15,1800-1950,t,104 PAC,Michel B,N/A
ARCH 470,Building Construction,4.00,+ Lab,10274,1,15,1800-1950,r,104 PAC,Benjamin W,N/A
ARCH 470,Building Construction,4.00,+ Lab,10275,0,16,1600-1750,r,104 PAC,Peden-Spear R,N/A
ARCH 470,Building Construction,4.00,+ Lab,10276,0,16,1000-1150,t,104 PAC,Guyer M,N/A
ARCH 470,Building Construction,4.00,+ Lab,10277,0,16,1000-1150,r,104 PAC,Guyer M,N/A
ARCH 470,Building Construction,4.00,+ Lab,16703,4,16,0800-0950,w,101 PAC,Michel B,!
ARCH 470,Building Construction,4.00,+ Lab,16704,0,16,1000-1150,f,101 PAC,Peden-Spear R,!
ARCH 471,Building Enclosure,4.00,Lecture,10278,1,72,1000-1150,tr,115 LA,Rowell J,!
ARCH 471,Building Enclosure,4.00,+ Lab,10279,0,17,1400-1520,t,104 PAC,Nazari A,N/A
ARCH 471,Building Enclosure,4.00,+ Lab,10280,1,17,0830-0950,w,104 PAC,Nazari A,N/A
ARCH 471,Building Enclosure,4.00,+ Lab,10281,0,20,1000-1120,f,104 PAC,Spoon S,N/A
ARCH 476,Res Construct OR BILDS,4.00,Lecture,10285,7,16,1400-1550,tr,278 LA,Neal C,!a
ARCH 480,Superv Design Teaching,1.00-3.00,Lecture,16362,16,16,-,N/A,N/A,tba,!
ARCH 484,Arch Design PHANTOM,6.00,Lecture,10286,0,0,1300-1650,mwf,TBA TBA,tba,!$
ARCH 484,Arch Design,6.00,Lecture,10288,5,16,1300-1650,mwf,481 LA,Hilton T,!$
ARCH 484,Arch Design,6.00,Lecture,10289,2,16,1300-1650,mwf,121 GER,Polites M,!$
ARCH 484,Arch Design,6.00,Lecture,10290,2,16,1300-1650,mwf,120 GER,Hahn T,!$
